0	181	209	25	450	210	75	192	169	112	41	106	159	170	260	47	201	93	87	121
181	0	47	153	120	34	114	35	8	79	145	136	106	177	97	185	148	98	145	71
209	47	0	189	89	9	160	90	55	125	191	127	71	225	77	231	134	145	136	103
25	153	189	0	235	182	84	168	145	96	46	83	135	105	172	72	179	80	70	97
450	120	89	235	0	39	300	190	177	199	271	288	123	99	41	380	45	198	188	166
210	34	9	182	39	0	152	82	46	177	183	190	63	78	72	223	115	136	145	95
75	114	160	84	300	152	0	124	127	50	34	64	95	90	153	75	223	24	68	84
192	35	90	168	190	82	124	0	40	87	137	107	37	74	121	166	160	108	112	90
169	8	55	145	177	46	127	40	0	71	137	107	21	42	94	178	122	91	105	66
112	79	125	96	199	177	50	87	71	0	84	69	37	75	131	111	170	19	33	68
41	145	191	46	271	183	34	137	137	84	0	82	121	111	172	60	180	50	65	105
106	136	127	83	288	190	64	107	107	69	82	0	68	43	112	126	210	58	43	35
159	106	71	135	123	63	95	37	21	37	121	68	0	42	81	164	125	74	82	62
170	177	225	105	99	78	90	74	42	75	111	43	42	0	81	156	81	69	52	20
260	97	77	172	41	72	153	121	94	131	172	112	81	81	0	204	34	123	125	88
47	185	231	72	380	223	75	166	178	111	60	126	164	156	204	0	217	93	109	149
201	148	134	179	45	115	223	160	122	170	180	210	125	81	34	217	0	152	205	94
93	98	145	80	196	136	24	108	91	19	50	58	74	69	123	93	152	0	39	83
87	145	136	70	188	145	68	112	105	33	65	43	82	52	125	109	205	39	0	46
121	71	103	97	166	95	84	90	66	68	105	35	62	20	88	149	94	83	46	0
