0	132	158	15	215	155	56	125	130	102	33	82	111	113	177	40	199	73	69	98
132	0	32	121	90	22	122	29	7	77	107	122	30	39	88	139	132	66	111	55
158	32	0	146	73	7	109	57	34	63	135	77	54	49	59	169	120	96	89	68
15	121	146	0	189	144	49	116	119	93	32	69	101	100	169	50	166	66	57	84
215	90	73	189	0	32	174	128	93	159	200	127	110	85	32	240	37	173	136	99
155	22	7	144	32	0	109	70	34	101	131	146	54	49	70	165	101	92	134	68
56	122	109	169	174	109	0	109	112	43	27	63	93	72	139	60	198	17	52	64
125	29	57	116	128	70	109	0	38	44	95	102	20	57	112	124	142	52	99	69
130	7	34	119	93	34	112	38	0	67	104	102	21	38	85	136	111	63	99	54
102	77	63	93	159	101	43	44	67	0	75	27	30	41	122	107	150	15	29	48
33	107	135	32	200	131	27	95	104	75	0	64	84	95	170	35 	171	42	50	85
82	122	77	69	127	146	63	102	102	27	64	0	49	31	100	99	184	40	34	22
111	30	54	101	110	54	93	20	21	30	84	49	0	39	75	116	114	43	80	49
113	39	49	100	85	49	72	57	38	41	95	31	39	0	78	130	79	64	45	19
117	88	59	169	32	70	139	112	85	122	170	100	75	78	0	200	33	106	114	81
40	139	169	50	240	165	60	124	136	107	35	99	116	130	200	0	201	73	86	120
199	132	120	166	37	101	198	142	111	150	171	184	114	79	33	201	0	140	190	85
73	66	96	66	173	92	17	52	63	15	42	40	43	64	106	73	140	0	32	61
69	111	89	57	136	134	52	99	99	29	50	34	80	45	114	86	190	32	0	35
98	55	68	84	99	68	64	69	54	48	85	22	49	19	81	120	85	61	35	0
